Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-04-11 15:59:28,false,"Distance Interva","11.42","867","01:09:17","156","186","4.5","155","173","6:04","4:35","52","55","1.06","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","24.0","0:00","No","00:02.50","17","29.0","01:09:13","01:09:17","68","81"
Running,2023-04-08 21:42:05,false,"Running","6.01","438","00:35:45","149","160","3.5","153","158","5:57","4:28","37","41","1.10","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","22.0","0:00","No","00:02.89","7","29.0","00:35:42","00:35:45","40","70"
Running,2023-04-07 17:49:46,false,"Faster Run by Ti","6.12","400","00:35:02","140","167","3.3","160","173","5:43","4:51","24","32","1.09","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","No","00:02.33","8","29.0","00:35:01","00:35:02","66","74"
Running,2023-04-06 21:20:43,false,"Distance Interva","9.79","737","01:02:05","151","167","3.9","155","176","6:21","4:20","41","51","1.01","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","19.0","0:00","No","00:01.24","17","28.0","01:02:01","01:02:40","65","83"
Running,2023-03-31 15:50:16,false,"Running","5.01","387","00:29:31","156","175","3.6","157","160","5:53","4:49","32","36","1.08","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","22.0","0:00","No","00:02.42","6","28.0","00:29:28","00:29:31","40","70"
Running,2023-03-30 18:12:36,false,"Faster Run","7.24","465","00:41:42","138","157","3.1","164","179","5:46","4:52","39","50","1.06","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","17.0","0:00","No","00:01.88","10","26.0","00:41:39","00:41:42","66","74"
Running,2023-03-28 18:10:37,false,"Distance Interva","9.82","704","01:00:19","145","174","4.0","157","178","6:08","4:15","46","52","1.04","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","23.0","0:00","No","00:02.48","17","28.0","01:00:16","01:00:19","66","78"
Running,2023-03-24 15:01:37,false,"Running","10.01","737","01:00:10","148","169","4.0","154","166","6:01","5:01","65","67","1.08","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","No","00:02.14","11","29.0","01:00:07","01:00:10","43","72"
Running,2023-03-21 22:28:50,false,"Running","5.01","331","00:28:54","137","153","3.0","163","172","5:46","4:44","28","39","1.06","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","17.0","0:00","No","00:01.13","6","26.0","00:28:52","00:28:54","38","70"
Running,2023-03-17 15:19:04,false,"Running","10.04","692","01:02:30","137","165","3.4","155","160","6:13","5:12","90","90","1.04","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","24.0","0:00","No","00:15.86","11","26.0","01:02:27","01:02:30","690","782"
Running,2023-03-16 08:25:45,false,"Running","5.02","335","00:29:32","137","154","3.0","160","164","5:53","4:25","39","44","1.06","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","22.0","0:00","No","00:05.33","6","25.0","00:29:29","00:29:32","44","74"
Running,2023-03-13 22:16:43,false,"Running","5.01","371","00:31:28","144","165","3.1","153","166","6:17","5:17","29","36","1.04","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","21.0","0:00","No","00:03.05","6","28.0","00:31:27","00:31:28","37","70"
Running,2023-03-10 14:36:34,false,"Running","10.01","695","01:01:07","142","168","3.6","154","158","6:06","5:10","64","65","1.07","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","No","00:02.70","11","30.0","01:01:05","01:01:07","42","72"
Running,2023-03-09 08:36:19,false,"Running","10.01","718","01:02:25","143","170","3.5","155","162","6:14","5:07","82","88","1.03","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","22.0","0:00","No","00:01.45","11","26.0","01:02:22","01:02:25","44","76"
Running,2023-03-01 21:17:22,false,"Running","10.01","765","00:59:54","155","173","4.1","157","165","5:59","4:49","65","72","1.07","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","20.0","0:00","No","00:01.90","11","28.0","00:59:52","00:59:54","34","70"
Running,2023-02-28 20:23:46,false,"Running","5.01","332","00:28:29","140","154","2.9","163","169","5:41","5:03","32","33","1.08","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","22.0","0:00","No","00:03.92","6","28.0","00:28:28","00:28:29","42","70"
